name,year,expenses,degree,enrollment,level,control
University of Phoenix-Southern Colorado Campus,2013,6169,19,1498,Four or more years,Private for-profit
Anthem College-Phoenix,2009,6165,19,1496,Four or more years,Private for-profit
University of Mary Washington,2008,6163,19,1495,Four or more years,Public
University of Mary Washington,2006,6161,19,1488,Four or more years,Public
Virginia Polytechnic Institute and State University,2007,6161,19,1488,Four or more years,Public
Virginia Polytechnic Institute and State University,2008,6161,19,1485,Four or more years,Public
Westminster College,2006,6159,19,1482,Four or more years,Private not-for-profit
Westminster College,2010,6158,18,1482,Four or more years,Private not-for-profit
Virginia Polytechnic Institute and State University,2006,6157,18,1481,Four or more years,Public
ITT Technical Institute-Tempe,2008,6155,18,1475,Four or more years,Private for-profit
Bryant & Stratton College-Virginia Beach,2006,6148,18,1475,Four or more years,Private for-profit
Virginia Polytechnic Institute and State University,2010,6144,18,1474,Four or more years,Public
Virginia Polytechnic Institute and State University,2009,6144,18,1471,Four or more years,Public
Barnes-Jewish College Goldfarb School of Nursing,2007,6130,18,1468,Four or more years,Private not-for-profit
James Madison University,2006,6129,18,1462,Four or more years,Public
Ozark Christian College,2011,6125,18,1457,Four or more years,Private not-for-profit
ITT Technical Institute-Norfolk,2008,6121,18,1456,Four or more years,Private for-profit
Anthem College-Phoenix,2012,6121,17,1454,Four or more years,Private for-profit
James Madison University,2009,6115,17,1446,Four or more years,Public
James Madison University,2007,6114,17,1441,Four or more years,Public
Baptist Bible College,2012,6108,17,1440,Four or more years,Private not-for-profit
James Madison University,2010,6103,17,1439,Four or more years,Public
James Madison University,2008,6102,17,1437,Four or more years,Public
University of Phoenix-Cleveland Campus,2011,6101,17,1436,Four or more years,Private for-profit
University of Richmond,2006,6096,17,1433,Four or more years,Private not-for-profit
Kansas City Art Institute,2006,6091,17,1428,Four or more years,Private not-for-profit
Arizona Christian University,2013,6079,17,1428,Four or more years,Private not-for-profit
Arizona Christian University,2012,6076,17,1423,Four or more years,Private not-for-profit
Ozark Christian College,2013,6068,17,1418,Four or more years,Private not-for-profit
ITT Technical Institute-Arnold,2012,6066,17,1415,Four or more years,Private for-profit
Bryant & Stratton College-Richmond,2013,6065,17,1413,Four or more years,Private for-profit
University of Richmond,2009,6060,17,1410,Four or more years,Private not-for-profit
University of Richmond,2007,6059,17,1407,Four or more years,Private not-for-profit
Westwood College-Annandale,2013,6059,17,1401,Four or more years,Private for-profit
Westwood College-Arlington Ballston,2013,6051,17,1401,Four or more years,Private for-profit
University of Phoenix-Southern Colorado Campus,2011,6049,17,1401,Four or more years,Private for-profit
Washington and Lee University,2006,6046,17,1401,Four or more years,Private not-for-profit
University of Richmond,2010,6042,16,1398,Four or more years,Private not-for-profit
University of Richmond,2008,6039,16,1397,Four or more years,Private not-for-profit
Virginia Intermont College,2013,6038,16,1394,Four or more years,Private not-for-profit
University of Phoenix-Baton Rouge Campus,2013,6036,16,1392,Four or more years,Private for-profit
University of Phoenix-Oregon Campus,2013,6036,16,1391,Four or more years,Private for-profit
Jefferson College of Health Sciences,2006,6033,16,1390,Four or more years,Private not-for-profit
ITT Technical Institute-Boise,2007,6030,16,1382,Four or more years,Private for-profit
ITT Technical Institute-Norfolk,2013,6029,16,1382,Four or more years,Private for-profit
Washington and Lee University,2007,6027,16,1378,Four or more years,Private not-for-profit
Washington and Lee University,2008,6026,16,1376,Four or more years,Private not-for-profit
Cox College,2008,6022,16,1376,Four or more years,Private not-for-profit
College of William and Mary,2010,6020,16,1376,Four or more years,Public
Washington University in St Louis,2006,6016,16,1375,Four or more years,Private not-for-profit
Washington and Lee University,2009,6015,16,1375,Four or more years,Private not-for-profit
College of William and Mary,2008,6013,16,1373,Four or more years,Public
College of William and Mary,2009,6012,16,1373,Four or more years,Public
College of William and Mary,2006,6009,15,1368,Four or more years,Public
College of William and Mary,2007,6008,15,1367,Four or more years,Public
Washington University in St Louis,2007,6005,15,1366,Four or more years,Private not-for-profit
University of Virginia-Main Campus,2006,6002,15,1365,Four or more years,Public
Virginia Intermont College,2006,5991,15,1364,Four or more years,Private not-for-profit
University of Phoenix-Northern Virginia Campus,2013,5991,15,1363,Four or more years,Private for-profit
Brown Mackie College-Tucson,2008,5988,15,1362,Four or more years,Private for-profit
Washington University in St Louis,2009,5983,15,1359,Four or more years,Private not-for-profit
Washington and Lee University,2010,5976,15,1356,Four or more years,Private not-for-profit
University of Virginia-Main Campus,2010,5974,15,1353,Four or more years,Public
University of Virginia-Main Campus,2009,5973,15,1351,Four or more years,Public
University of Virginia-Main Campus,2008,5972,15,1351,Four or more years,Public
University of Virginia-Main Campus,2007,5972,15,1349,Four or more years,Public
ITT Technical Institute-Earth City,2011,5971,15,1346,Four or more years,Private for-profit
University of Phoenix-West Florida Campus,2013,5965,15,1346,Four or more years,Private for-profit
Washington University in St Louis,2010,5962,15,1345,Four or more years,Private not-for-profit
Washington University in St Louis,2008,5960,15,1344,Four or more years,Private not-for-profit
Brookline College-Phoenix,2013,5959,14,1344,Four or more years,Private for-profit
University of Phoenix-Memphis Campus,2011,5956,14,1344,Four or more years,Private for-profit
University of Phoenix-Kansas City Campus,2011,5955,14,1342,Four or more years,Private for-profit
Sweet Briar College,2013,5955,14,1339,Four or more years,Private not-for-profit
Pima Medical Institute-Tucson,2012,5953,14,1335,Four or more years,Private for-profit
Southwest University of Visual Arts-Tucson,2007,5950,14,1333,Four or more years,Private for-profit
Randolph College,2012,5948,14,1333,Four or more years,Private not-for-profit
Research College of Nursing,2013,5929,14,1329,Four or more years,Private for-profit
ITT Technical Institute-Arnold,2011,5925,14,1328,Four or more years,Private for-profit
Randolph College,2011,5924,14,1321,Four or more years,Private not-for-profit
Sentara College of Health Sciences,2013,5924,14,1321,Four or more years,Private not-for-profit
Chamberlain College of Nursing-Arizona,2012,5916,14,1319,Four or more years,Private for-profit
University of Phoenix-Columbus Georgia Campus,2013,5911,14,1316,Four or more years,Private for-profit
Everest College-Springfield,2006,5911,14,1315,Four or more years,Private for-profit
Cox College,2010,5894,14,1313,Four or more years,Private not-for-profit
Jefferson College of Health Sciences,2009,5893,14,1312,Four or more years,Private not-for-profit
Skyline College-Roanoke,2010,5893,14,1309,Four or more years,Private for-profit
Cox College,2009,5892,14,1309,Four or more years,Private not-for-profit
Le Cordon Bleu College of Culinary Arts-Scottsdale,2009,5892,14,1303,Four or more years,Private for-profit
Virginia University of Lynchburg,2006,5891,14,1297,Four or more years,Private not-for-profit
American National University,2010,5881,14,1296,Four or more years,Private for-profit
Vatterott College-Sunset Hills,2007,5875,13,1291,Four or more years,Private for-profit
American National University,2008,5873,13,1289,Four or more years,Private for-profit
ITT Technical Institute-Norfolk,2009,5873,13,1288,Four or more years,Private for-profit
Southwest University of Visual Arts-Tucson,2006,5864,13,1288,Four or more years,Private for-profit
Sanford-Brown College-Fenton,2010,5858,13,1287,Four or more years,Private for-profit
University of Phoenix-Northern Nevada Campus,2006,5855,13,1286,Four or more years,Private for-profit
Brookline College-Phoenix,2008,5855,13,1284,Four or more years,Private for-profit
National Paralegal College,2011,5854,13,1283,Four or more years,Private for-profit
Stratford University,2013,5851,13,1283,Four or more years,Private for-profit
Virginia Intermont College,2011,5850,13,1278,Four or more years,Private not-for-profit
University of Phoenix-Columbus Georgia Campus,2011,5850,13,1277,Four or more years,Private for-profit
University of Phoenix-Chicago Campus,2013,5849,13,1277,Four or more years,Private for-profit
Northcentral University,2011,5840,13,1275,Four or more years,Private for-profit
Southern Virginia University,2013,5839,13,1274,Four or more years,Private not-for-profit
University of Phoenix-Columbia Campus,2013,5838,13,1274,Four or more years,Private for-profit
University of Phoenix-Augusta Campus,2011,5835,13,1273,Four or more years,Private for-profit
Randolph College,2013,5834,13,1272,Four or more years,Private not-for-profit
Jefferson College of Health Sciences,2011,5832,13,1270,Four or more years,Private not-for-profit
Le Cordon Bleu College of Culinary Arts-Scottsdale,2013,5831,13,1269,Four or more years,Private for-profit
Northcentral University,2012,5831,13,1266,Four or more years,Private for-profit
University of Phoenix-Charlotte Campus,2013,5831,13,1266,Four or more years,Private for-profit
University of Phoenix-Dallas Campus,2013,5828,13,1266,Four or more years,Private for-profit
Kansas City Art Institute,2012,5827,13,1261,Four or more years,Private not-for-profit
Virginia Intermont College,2012,5826,13,1258,Four or more years,Private not-for-profit
University of Phoenix-Nashville Campus,2013,5826,12,1258,Four or more years,Private for-profit
University of Phoenix-Memphis Campus,2013,5826,12,1255,Four or more years,Private for-profit
Collins College,2013,5819,12,1253,Four or more years,Private for-profit
University of Phoenix-Tulsa Campus,2011,5816,12,1252,Four or more years,Private for-profit
University of Phoenix-San Antonio Campus,2013,5811,12,1250,Four or more years,Private for-profit
University of Phoenix-Nashville Campus,2011,5811,12,1250,Four or more years,Private for-profit
Chamberlain College of Nursing-Arizona,2013,5807,12,1249,Four or more years,Private for-profit
Jefferson College of Health Sciences,2012,5807,12,1249,Four or more years,Private not-for-profit
Southern Virginia University,2011,5804,12,1245,Four or more years,Private not-for-profit
Culver-Stockton College,2013,5801,12,1243,Four or more years,Private not-for-profit
Pima Medical Institute-Tucson,2013,5797,12,1243,Four or more years,Private for-profit
Le Cordon Bleu College of Culinary Arts-Scottsdale,2012,5796,12,1239,Four or more years,Private for-profit
Southern Virginia University,2012,5795,12,1238,Four or more years,Private not-for-profit
Research College of Nursing,2012,5786,12,1238,Four or more years,Private for-profit
University of Phoenix-Hawaii Campus,2011,5781,12,1232,Four or more years,Private for-profit
University of Phoenix-Maryland Campus,2011,5777,12,1230,Four or more years,Private for-profit
University of Phoenix-Western Washington Campus,2011,5776,12,1229,Four or more years,Private for-profit
University of Phoenix-Oklahoma City Campus,2011,5771,12,1228,Four or more years,Private for-profit
University of Phoenix-San Antonio Campus,2011,5769,12,1228,Four or more years,Private for-profit
Sweet Briar College,2011,5769,12,1228,Four or more years,Private not-for-profit
Averett University,2013,5769,12,1228,Four or more years,Private not-for-profit
Research College of Nursing,2011,5767,12,1224,Four or more years,Private for-profit
Harris-Stowe State University,2011,5766,12,1223,Four or more years,Public
Kansas City Art Institute,2011,5766,12,1220,Four or more years,Private not-for-profit
Averett University,2012,5763,12,1219,Four or more years,Private not-for-profit
Collins College,2012,5761,12,1219,Four or more years,Private for-profit
Averett University,2011,5749,12,1218,Four or more years,Private not-for-profit
Emory & Henry College,2012,5745,12,1215,Four or more years,Private not-for-profit
Virginia Union University,2012,5745,11,1214,Four or more years,Private not-for-profit
University of Advancing Technology,2012,5735,11,1212,Four or more years,Private for-profit
Virginia Union University,2011,5728,11,1211,Four or more years,Private not-for-profit
Sweet Briar College,2012,5725,11,1209,Four or more years,Private not-for-profit
Culver-Stockton College,2012,5714,11,1206,Four or more years,Private not-for-profit
University of Phoenix-Atlanta Campus,2013,5712,11,1204,Four or more years,Private for-profit
Hollins University,2013,5711,11,1204,Four or more years,Private not-for-profit
University of Phoenix-Central Florida Campus,2013,5707,11,1203,Four or more years,Private for-profit
Virginia Union University,2013,5706,11,1199,Four or more years,Private not-for-profit
Harris-Stowe State University,2012,5704,11,1198,Four or more years,Public
DeVry University-Virginia,2012,5701,11,1195,Four or more years,Private for-profit
DeVry University-Virginia,2011,5700,11,1195,Four or more years,Private for-profit
Chamberlain College of Nursing-Missouri,2013,5698,11,1193,Four or more years,Private for-profit
Stephens College,2013,5697,11,1192,Four or more years,Private not-for-profit
Harris-Stowe State University,2013,5696,11,1189,Four or more years,Public
University of Advancing Technology,2013,5696,11,1189,Four or more years,Private for-profit
University of Phoenix-Charlotte Campus,2011,5687,11,1188,Four or more years,Private for-profit
Culver-Stockton College,2011,5687,11,1186,Four or more years,Private not-for-profit
The Art Institute of Phoenix,2013,5682,11,1186,Four or more years,Private for-profit
Logan University,2013,5681,11,1186,Four or more years,Private not-for-profit
University of Phoenix-Philadelphia Campus,2011,5677,11,1185,Four or more years,Private for-profit
Emory & Henry College,2013,5675,10,1182,Four or more years,Private not-for-profit
Kansas City Art Institute,2013,5673,10,1178,Four or more years,Private not-for-profit
University of Phoenix-Augusta Campus,2013,5673,10,1177,Four or more years,Private for-profit
Emory & Henry College,2011,5672,10,1177,Four or more years,Private not-for-profit
Hollins University,2011,5671,10,1175,Four or more years,Private not-for-profit
Logan University,2012,5670,10,1171,Four or more years,Private not-for-profit
University of Phoenix-Hawaii Campus,2013,5669,10,1171,Four or more years,Private for-profit
Jefferson College of Health Sciences,2013,5668,10,1170,Four or more years,Private not-for-profit
DeVry University-Missouri,2011,5663,10,1162,Four or more years,Private for-profit
University of Phoenix-North Florida Campus,2013,5661,10,1157,Four or more years,Private for-profit
Ferrum College,2012,5661,10,1156,Four or more years,Private not-for-profit
The Art Institute of Washington,2011,5656,10,1154,Four or more years,Private for-profit
University of Phoenix-Puerto Rico Campus,2011,5656,10,1153,Four or more years,Private for-profit
Missouri Valley College,2012,5656,10,1151,Four or more years,Private not-for-profit
University of Phoenix-Chicago Campus,2011,5656,10,1148,Four or more years,Private for-profit
Prescott College,2011,5651,10,1146,Four or more years,Private not-for-profit
Hollins University,2012,5646,10,1145,Four or more years,Private not-for-profit
Central Methodist University-College of Liberal Arts and Sciences,2011,5646,10,1145,Four or more years,Private not-for-profit
Missouri Valley College,2011,5646,10,1145,Four or more years,Private not-for-profit
University of Phoenix-Colorado Campus,2013,5643,10,1144,Four or more years,Private for-profit
The Art Institute of Washington,2013,5638,10,1144,Four or more years,Private for-profit
The College of Idaho,2012,5637,10,1142,Four or more years,Private not-for-profit
Le Cordon Bleu College of Culinary Arts-Scottsdale,2011,5636,10,1142,Four or more years,Private for-profit
The Art Institute of Phoenix,2012,5634,10,1142,Four or more years,Private for-profit
Ferrum College,2011,5631,10,1141,Four or more years,Private not-for-profit
University of Advancing Technology,2011,5631,10,1138,Four or more years,Private for-profit
Stephens College,2012,5618,10,1136,Four or more years,Private not-for-profit
University of Phoenix-West Florida Campus,2011,5612,9,1133,Four or more years,Private for-profit
The Art Institute of Phoenix,2011,5610,9,1133,Four or more years,Private for-profit
Westminster College,2011,5609,9,1132,Four or more years,Private not-for-profit
DeVry University-Missouri,2013,5609,9,1131,Four or more years,Private for-profit
Bluefield College,2013,5604,9,1130,Four or more years,Private not-for-profit
Collins College,2011,5602,9,1127,Less than 2 years (below associate),Private for-profit
Ottawa University-Phoenix,2013,5600,9,1127,Four or more years,Private not-for-profit
Stephens College,2011,5589,9,1125,Four or more years,Private not-for-profit
Logan University,2011,5589,9,1125,Four or more years,Private not-for-profit
Argosy University-Phoenix Online Division,2011,5589,9,1125,Four or more years,Private for-profit
Prescott College,2012,5587,9,1123,Four or more years,Private not-for-profit
Westminster College,2012,5586,9,1122,Four or more years,Private not-for-profit
Hannibal-LaGrange University,2012,5586,9,1120,Four or more years,Private not-for-profit
University of Phoenix-Bay Area Campus,2013,5584,9,1116,Four or more years,Private for-profit
Hampden-Sydney College,2013,5583,9,1114,Four or more years,Private not-for-profit
The College of Idaho,2011,5575,9,1114,Four or more years,Private not-for-profit
DeVry University-Virginia,2013,5572,9,1111,Four or more years,Private for-profit
Bluefield College,2012,5571,9,1109,Four or more years,Private not-for-profit
University of Phoenix-Dallas Campus,2011,5570,9,1108,Four or more years,Private for-profit
Prescott College,2013,5564,9,1108,Four or more years,Private not-for-profit
University of Phoenix-Detroit Campus,2013,5559,9,1107,Four or more years,Private for-profit
DeVry University-Missouri,2012,5557,9,1106,Four or more years,Private for-profit
University of Phoenix-Atlanta Campus,2011,5550,8,1105,Four or more years,Private for-profit
University of Phoenix-Oregon Campus,2011,5549,8,1101,Four or more years,Private for-profit
Hannibal-LaGrange University,2013,5549,8,1099,Four or more years,Private not-for-profit
Ferrum College,2013,5543,8,1098,Four or more years,Private not-for-profit
William Woods University,2013,5542,8,1090,Four or more years,Private not-for-profit
Hannibal-LaGrange University,2011,5542,8,1090,Four or more years,Private not-for-profit
William Woods University,2011,5541,8,1086,Four or more years,Private not-for-profit
Hampden-Sydney College,2012,5533,8,1082,Four or more years,Private not-for-profit
Avila University,2012,5521,8,1082,Four or more years,Private not-for-profit
Westminster College,2013,5520,8,1081,Four or more years,Private not-for-profit
Ottawa University-Phoenix,2011,5519,8,1080,Four or more years,Private not-for-profit
Avila University,2013,5511,8,1079,Four or more years,Private not-for-profit
Averett University-Non-Traditional Programs,2011,5502,8,1078,Four or more years,Private not-for-profit
Northwest Nazarene University,2011,5497,8,1077,Four or more years,Private not-for-profit
Mary Baldwin College,2011,5497,8,1074,Four or more years,Private not-for-profit
Bluefield College,2011,5497,8,1073,Four or more years,Private not-for-profit
Missouri Valley College,2013,5497,8,1073,Four or more years,Private not-for-profit
The College of Idaho,2013,5494,7,1069,Four or more years,Private not-for-profit
Avila University,2011,5490,7,1068,Four or more years,Private not-for-profit
Hampden-Sydney College,2011,5486,7,1066,Four or more years,Private not-for-profit
William Jewell College,2011,5484,7,1065,Four or more years,Private not-for-profit
Randolph-Macon College,2012,5481,7,1065,Four or more years,Private not-for-profit
The Art Institute of Washington,2012,5478,7,1064,Four or more years,Private for-profit
William Jewell College,2013,5477,7,1063,Four or more years,Private not-for-profit
DeVry University-Arizona,2011,5476,7,1062,Four or more years,Private for-profit
University of Phoenix-Puerto Rico Campus,2013,5471,7,1062,Four or more years,Private for-profit
Virginia Wesleyan College,2011,5469,7,1059,Four or more years,Private not-for-profit
University of Phoenix-South Florida Campus,2013,5469,7,1058,Four or more years,Private for-profit
Central Methodist University-College of Liberal Arts and Sciences,2013,5468,7,1057,Four or more years,Private not-for-profit
University of Phoenix-Louisiana Campus,2011,5467,7,1057,Four or more years,Private for-profit
Randolph-Macon College,2013,5467,7,1057,Four or more years,Private not-for-profit
The University of Virginia's College at Wise,2011,5466,7,1056,Four or more years,Public
Central Methodist University-College of Liberal Arts and Sciences,2012,5464,7,1055,Four or more years,Private not-for-profit
Mary Baldwin College,2013,5464,7,1052,Four or more years,Private not-for-profit
University of Phoenix-Utah Campus,2013,5463,7,1052,Four or more years,Private for-profit
Mary Baldwin College,2012,5461,7,1051,Four or more years,Private not-for-profit
University of Phoenix-North Florida Campus,2011,5461,6,1050,Four or more years,Private for-profit
Virginia Wesleyan College,2013,5460,6,1050,Four or more years,Private not-for-profit
University of Phoenix-Central Florida Campus,2011,5456,6,1049,Four or more years,Private for-profit
Averett University-Non-Traditional Programs,2012,5454,6,1048,Four or more years,Private for-profit
William Woods University,2012,5454,6,1048,Four or more years,Private not-for-profit
DeVry University-Arizona,2012,5453,6,1046,Four or more years,Private for-profit
University of Phoenix-Southern Arizona Campus,2013,5452,6,1046,Four or more years,Private for-profit
Randolph-Macon College,2011,5451,6,1046,Four or more years,Private not-for-profit
College of the Ozarks,2013,5450,6,1042,Four or more years,Private not-for-profit
Northwest Nazarene University,2012,5439,6,1040,Four or more years,Private not-for-profit
University of Phoenix-Houston Campus,2013,5436,6,1035,Four or more years,Private for-profit
The University of Virginia's College at Wise,2012,5435,6,1035,Four or more years,Public
Eastern Mennonite University,2012,5432,6,1034,Four or more years,Private not-for-profit
Argosy University-Phoenix Online Division,2012,5429,6,1034,Less than 2 years (below associate),Private for-profit
DeVry University-Arizona,2013,5425,6,1034,Four or more years,Private for-profit
Ottawa University-Phoenix,2012,5416,6,1033,Four or more years,Private not-for-profit
The University of Virginia's College at Wise,2013,5415,6,1033,Four or more years,Public
Virginia Wesleyan College,2012,5411,6,1031,Four or more years,Private not-for-profit
Bridgewater College,2013,5409,5,1031,Four or more years,Private not-for-profit
Western International University,2013,5407,5,1028,Four or more years,Private for-profit
William Jewell College,2012,5405,5,1028,Four or more years,Private not-for-profit
Western International University,2012,5404,5,1027,Four or more years,Private for-profit
Barnes-Jewish College Goldfarb School of Nursing,2011,5404,5,1025,Four or more years,Private not-for-profit
Northwest Nazarene University,2013,5404,5,1025,Four or more years,Private not-for-profit
Lincoln University,2012,5401,5,1024,Four or more years,Public
Regent University,2011,5398,5,1022,Four or more years,Private not-for-profit
College of the Ozarks,2012,5393,5,1022,Four or more years,Private not-for-profit
Virginia Military Institute,2012,5393,5,1021,Four or more years,Public
Eastern Mennonite University,2013,5391,5,1019,Four or more years,Private not-for-profit
Lincoln University,2013,5391,5,1016,Four or more years,Public
University of Phoenix-Las Vegas Campus,2013,5384,5,1016,Four or more years,Private for-profit
Lincoln University,2011,5378,5,1015,Four or more years,Public
Averett University-Non-Traditional Programs,2013,5363,5,1014,Four or more years,Private not-for-profit
College of the Ozarks,2011,5361,5,1014,Four or more years,Private not-for-profit
Embry-Riddle Aeronautical University-Prescott,2013,5359,5,1012,Four or more years,Private not-for-profit
Fontbonne University,2013,5353,5,1012,Four or more years,Private not-for-profit
University of Phoenix-Central Valley Campus,2013,5351,4,1011,Four or more years,Private for-profit
Virginia Military Institute,2011,5351,4,1011,Four or more years,Public
Bridgewater College,2011,5349,4,1010,Four or more years,Private not-for-profit
Eastern Mennonite University,2011,5348,4,1010,Four or more years,Private not-for-profit
Central Methodist University-College of Graduate and Extended Studies,2011,5345,4,1010,Four or more years,Private not-for-profit
Western International University,2011,5345,4,1009,Four or more years,Private for-profit
University of Phoenix-Colorado Campus,2011,5340,4,1004,Four or more years,Private for-profit
Embry-Riddle Aeronautical University-Prescott,2011,5339,4,1002,Four or more years,Private not-for-profit
Embry-Riddle Aeronautical University-Prescott,2012,5336,4,1001,Four or more years,Private not-for-profit
University of Phoenix-South Florida Campus,2011,5335,4,1000,Four or more years,Private for-profit
Regent University,2012,5334,4,999,Four or more years,Private not-for-profit
Southwest Baptist University,2013,5333,4,999,Four or more years,Private not-for-profit
Virginia Military Institute,2013,5331,4,999,Four or more years,Public
Bridgewater College,2012,5329,4,999,Four or more years,Private not-for-profit
Southwest Baptist University,2012,5327,4,996,Four or more years,Private not-for-profit
Southwest Baptist University,2011,5325,4,994,Four or more years,Private not-for-profit
Missouri Baptist University,2011,5322,4,993,Four or more years,Private not-for-profit
Evangel University,2012,5321,4,993,Four or more years,Private not-for-profit
Missouri Baptist University,2012,5318,3,992,Four or more years,Private not-for-profit
University of Phoenix-Southern Arizona Campus,2011,5313,3,992,Four or more years,Private for-profit
University of Phoenix-Central Valley Campus,2011,5310,3,992,Four or more years,Private for-profit
University of Phoenix-Detroit Campus,2011,5310,3,991,Four or more years,Private for-profit
Evangel University,2013,5302,3,989,Four or more years,Private not-for-profit
Evangel University,2011,5298,3,989,Four or more years,Private not-for-profit
Regent University,2013,5297,3,989,Four or more years,Private not-for-profit
Missouri Baptist University,2013,5291,3,988,Four or more years,Private not-for-profit
Central Methodist University-College of Graduate and Extended Studies,2013,5291,3,987,Four or more years,Private not-for-profit
University of Management and Technology,2011,5289,3,984,Four or more years,Private for-profit
Barnes-Jewish College Goldfarb School of Nursing,2013,5286,3,984,Four or more years,Private not-for-profit
Barnes-Jewish College Goldfarb School of Nursing,2012,5283,3,983,Four or more years,Private not-for-profit
Fontbonne University,2012,5282,3,983,Four or more years,Private not-for-profit
Shenandoah University,2011,5277,2,982,Four or more years,Private not-for-profit
Lewis-Clark State College,2011,5276,2,980,Four or more years,Public
Washington and Lee University,2012,5276,2,978,Four or more years,Private not-for-profit
Washington and Lee University,2011,5273,2,977,Four or more years,Private not-for-profit
Rockhurst University,2013,5270,2,977,Four or more years,Private not-for-profit
Rockhurst University,2011,5268,1,976,Four or more years,Private not-for-profit
Lynchburg College,2011,5266,1,975,Four or more years,Private not-for-profit
Fontbonne University,2011,5266,1,974,Four or more years,Private not-for-profit
Rockhurst University,2012,5259,1,968,Four or more years,Private not-for-profit
Central Methodist University-College of Graduate and Extended Studies,2012,5258,1,964,Four or more years,Private not-for-profit
Roanoke College,2012,5256,1,964,Four or more years,Private not-for-profit
University of Phoenix-Las Vegas Campus,2011,5254,1,960,Four or more years,Private for-profit
Roanoke College,2011,5254,1,960,Four or more years,Private not-for-profit
University of Phoenix-Utah Campus,2011,5251,1,959,Four or more years,Private for-profit
University of Phoenix-Houston Campus,2011,5243,1,958,Four or more years,Private for-profit
Roanoke College,2013,5241,0,958,Four or more years,Private not-for-profit
Shenandoah University,2013,5238,0,956,Four or more years,Private not-for-profit
Shenandoah University,2012,5238,0,956,Four or more years,Private not-for-profit
University of Phoenix-Bay Area Campus,2011,5229,0,956,Four or more years,Private for-profit
Washington and Lee University,2013,5228,0,954,Four or more years,Private not-for-profit
Lynchburg College,2013,5227,0,951,Four or more years,Private not-for-profit
Lynchburg College,2012,5227,0,951,Four or more years,Private not-for-profit
Lewis-Clark State College,2013,5226,0,949,Four or more years,Public
University of Management and Technology,2012,5222,0,947,Four or more years,Private for-profit
University of Phoenix-Sacramento Valley Campus,2013,5222,0,947,Four or more years,Private for-profit
Argosy University-Phoenix Online Division,2013,5222,0,947,Four or more years,Private for-profit
Lewis-Clark State College,2012,5215,0,947,Four or more years,Public
University of Management and Technology,2013,5209,0,946,Four or more years,Private for-profit
Maryville University of Saint Louis,2012,5207,0,942,Four or more years,Private not-for-profit
Marymount University,2013,5206,0,942,Four or more years,Private not-for-profit
University of Phoenix-Albuquerque Campus,2013,5203,0,942,Four or more years,Private for-profit
Maryville University of Saint Louis,2011,5203,0,939,Four or more years,Private not-for-profit
Marymount University,2012,5200,0,938,Four or more years,Private not-for-profit
Marymount University,2011,5199,0,938,Four or more years,Private not-for-profit
Grantham University,2011,5199,0,937,Four or more years,Private for-profit
Missouri Western State University,2011,5198,0,937,Four or more years,Public
University of Phoenix-Sacramento Valley Campus,2011,5198,0,936,Four or more years,Private for-profit
Maryville University of Saint Louis,2013,5196,0,935,Four or more years,Private not-for-profit
Hampton University,2013,5193,0,935,Four or more years,Private not-for-profit
University of Phoenix-San Diego Campus,2011,5191,0,935,Four or more years,Private for-profit
Missouri Western State University,2012,5188,0,934,Four or more years,Public
Missouri Western State University,2013,5185,0,933,Four or more years,Public
University of Phoenix-Albuquerque Campus,2011,5180,0,933,Four or more years,Private for-profit
ECPI University,2011,5176,0,930,Four or more years,Private for-profit
Virginia State University,2011,5173,0,929,Four or more years,Public
University of Phoenix-Phoenix Campus,2013,5172,0,929,Four or more years,Private for-profit
Arizona State University-Polytechnic,2013,5170,0,928,Four or more years,Public
Norfolk State University,2011,5169,0,928,Four or more years,Public
Grantham University,2012,5163,0,927,Less than 2 years (below associate),Private for-profit
Drury University,2013,5161,0,927,Four or more years,Private not-for-profit
University of Richmond,2012,5159,0,927,Four or more years,Private not-for-profit
Drury University,2012,5154,0,924,Four or more years,Private not-for-profit
Norfolk State University,2012,5154,0,922,Four or more years,Public
Webster University,2012,5144,0,921,Four or more years,Private not-for-profit
Longwood University,2011,5140,0,921,Four or more years,Public
Hampton University,2012,5138,0,921,Four or more years,Private not-for-profit
Longwood University,2013,5138,0,920,Four or more years,Public
Hampton University,2011,5134,0,919,Four or more years,Private not-for-profit
Virginia State University,2012,5131,0,919,Four or more years,Public
Missouri Southern State University,2013,5126,0,919,Four or more years,Public
University of Phoenix-Phoenix Campus,2011,5122,0,918,Four or more years,Private for-profit
Norfolk State University,2013,5121,0,918,Four or more years,Public
Missouri Southern State University,2011,5121,0,917,Four or more years,Public
University of Phoenix-San Diego Campus,2013,5117,0,917,Four or more years,Private for-profit
University of Richmond,2011,5115,0,917,Four or more years,Private not-for-profit
Missouri Southern State University,2012,5112,0,916,Four or more years,Public
Longwood University,2012,5107,0,914,Four or more years,Public
Grantham University,2013,5107,0,914,Four or more years,Private for-profit
Drury University,2011,5106,0,913,Four or more years,Private not-for-profit
Virginia State University,2013,5106,0,911,Four or more years,Public
University of Richmond,2013,5103,0,910,Four or more years,Private not-for-profit
Webster University,2013,5101,0,910,Four or more years,Private not-for-profit
Arizona State University-Skysong,2013,5095,0,910,Four or more years,Public
Northwest Missouri State University,2011,5092,0,908,Four or more years,Public
University of Mary Washington,2012,5090,0,908,Four or more years,Public
Arizona State University-West,2013,5089,0,907,Four or more years,Public
